step 0: train loss 10.9888, val loss 10.9901
iter 0: loss 10.9925, time 156011.05ms, mfu -100.00%
iter 10: loss 9.7272, time 1506.51ms, mfu 22.35%
iter 20: loss 9.4991, time 1506.20ms, mfu 22.35%
iter 30: loss 8.9278, time 1508.17ms, mfu 22.34%
iter 40: loss 8.5681, time 1506.36ms, mfu 22.34%
iter 50: loss 8.0313, time 1509.57ms, mfu 22.34%
iter 60: loss 7.6983, time 1511.10ms, mfu 22.33%
iter 70: loss 7.3963, time 1510.18ms, mfu 22.33%
iter 80: loss 6.9363, time 1513.52ms, mfu 22.32%
iter 90: loss 6.5984, time 1518.31ms, mfu 22.31%
iter 100: loss 6.6973, time 125041.71ms, mfu 20.10%
iter 110: loss 6.7873, time 1532.32ms, mfu 20.29%
iter 120: loss 6.4127, time 1532.84ms, mfu 20.46%
iter 130: loss 6.6029, time 1533.58ms, mfu 20.61%
iter 140: loss 6.3786, time 1533.80ms, mfu 20.74%
iter 150: loss 6.4581, time 1537.58ms, mfu 20.86%
iter 160: loss 6.3413, time 1536.25ms, mfu 20.96%
iter 170: loss 6.1520, time 1535.95ms, mfu 21.06%
iter 180: loss 6.2159, time 1538.69ms, mfu 21.14%
iter 190: loss 6.2476, time 1537.32ms, mfu 21.22%
iter 200: loss 5.8905, time 1539.05ms, mfu 21.28%
iter 210: loss 6.0992, time 1539.14ms, mfu 21.34%
