step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9733, time 31264.63ms, mfu -100.00%
iter 10: loss 10.3218, time 2948.92ms, mfu 22.83%
iter 20: loss 9.7436, time 2956.29ms, mfu 22.83%
iter 30: loss 9.4144, time 2958.52ms, mfu 22.82%
iter 40: loss 9.4707, time 2961.75ms, mfu 22.81%
iter 50: loss 9.0260, time 2959.13ms, mfu 22.81%
iter 60: loss 8.6844, time 2958.64ms, mfu 22.80%
iter 70: loss 8.6394, time 2959.19ms, mfu 22.80%
iter 80: loss 8.3361, time 2964.96ms, mfu 22.79%
iter 90: loss 8.2702, time 2983.61ms, mfu 22.76%
iter 100: loss 7.9898, time 2998.55ms, mfu 22.73%
iter 110: loss 7.6133, time 2997.50ms, mfu 22.71%
iter 120: loss 7.5941, time 3003.66ms, mfu 22.68%
iter 130: loss 7.3798, time 3011.00ms, mfu 22.65%
iter 140: loss 7.3050, time 3012.44ms, mfu 22.62%
iter 150: loss 7.0169, time 3019.50ms, mfu 22.58%
iter 160: loss 7.0441, time 3025.25ms, mfu 22.55%
iter 170: loss 6.8416, time 3031.62ms, mfu 22.52%
iter 180: loss 6.7068, time 3034.85ms, mfu 22.48%
iter 190: loss 6.7448, time 3044.07ms, mfu 22.45%
iter 200: loss 6.6011, time 3046.80ms, mfu 22.41%
iter 210: loss 6.3926, time 3044.89ms, mfu 22.38%
iter 220: loss 6.5678, time 3052.96ms, mfu 22.35%
iter 230: loss 6.3062, time 3039.61ms, mfu 22.33%
iter 240: loss 6.3581, time 3045.59ms, mfu 22.31%
iter 250: loss 6.2618, time 3049.43ms, mfu 22.28%
iter 260: loss 6.2408, time 3057.30ms, mfu 22.26%
iter 270: loss 6.1635, time 3057.67ms, mfu 22.23%
iter 280: loss 6.4957, time 3049.00ms, mfu 22.22%
iter 290: loss 6.3440, time 3048.58ms, mfu 22.21%
iter 300: loss 6.1195, time 3041.30ms, mfu 22.20%
iter 310: loss 6.0728, time 3045.15ms, mfu 22.19%
iter 320: loss 6.1826, time 3053.86ms, mfu 22.18%
iter 330: loss 6.1429, time 3056.66ms, mfu 22.16%
iter 340: loss 6.1620, time 3052.88ms, mfu 22.15%
iter 350: loss 5.9329, time 3057.09ms, mfu 22.14%
iter 360: loss 5.8031, time 3051.54ms, mfu 22.13%
iter 370: loss 6.0408, time 3056.34ms, mfu 22.12%
iter 380: loss 6.1414, time 3056.91ms, mfu 22.11%
iter 390: loss 5.9805, time 3055.64ms, mfu 22.10%
iter 400: loss 5.8804, time 3056.83ms, mfu 22.10%
iter 410: loss 5.8106, time 3058.02ms, mfu 22.09%
iter 420: loss 5.7429, time 3351.66ms, mfu 21.89%
iter 430: loss 5.7129, time 3054.37ms, mfu 21.90%
iter 440: loss 5.7884, time 3058.99ms, mfu 21.91%
iter 450: loss 5.7145, time 3045.39ms, mfu 21.93%
iter 460: loss 5.5542, time 3056.87ms, mfu 21.94%
iter 470: loss 5.6270, time 3044.77ms, mfu 21.96%
iter 480: loss 5.7310, time 3039.11ms, mfu 21.98%
iter 490: loss 5.8493, time 3053.04ms, mfu 21.99%
iter 500: loss 5.3539, time 3047.06ms, mfu 22.00%
iter 510: loss 5.5223, time 3048.56ms, mfu 22.01%
iter 520: loss 5.5820, time 3046.15ms, mfu 22.02%
iter 530: loss 5.3824, time 3044.33ms, mfu 22.03%
iter 540: loss 5.3946, time 3052.44ms, mfu 22.03%
iter 550: loss 5.2867, time 3056.44ms, mfu 22.03%
iter 560: loss 5.3146, time 3057.37ms, mfu 22.03%
iter 570: loss 5.3732, time 3057.20ms, mfu 22.03%
iter 580: loss 5.5920, time 3049.92ms, mfu 22.03%
iter 590: loss 5.4773, time 3050.48ms, mfu 22.04%
iter 600: loss 5.3934, time 3038.59ms, mfu 22.05%
iter 610: loss 5.3634, time 3039.35ms, mfu 22.06%
iter 620: loss 5.2544, time 3042.27ms, mfu 22.07%
iter 630: loss 5.2618, time 3048.00ms, mfu 22.07%
iter 640: loss 5.1454, time 3047.43ms, mfu 22.07%
iter 650: loss 5.1388, time 3045.59ms, mfu 22.07%
iter 660: loss 5.5511, time 3053.71ms, mfu 22.07%
iter 670: loss 5.3066, time 3045.13ms, mfu 22.08%
iter 680: loss 5.1068, time 3046.59ms, mfu 22.08%
iter 690: loss 5.3037, time 3055.61ms, mfu 22.07%
iter 700: loss 5.0983, time 3047.88ms, mfu 22.08%
iter 710: loss 5.1304, time 3059.59ms, mfu 22.07%
iter 720: loss 4.7670, time 3039.44ms, mfu 22.08%
iter 730: loss 4.9373, time 3040.78ms, mfu 22.08%
iter 740: loss 5.2201, time 3052.98ms, mfu 22.08%
iter 750: loss 4.9509, time 3050.68ms, mfu 22.08%
iter 760: loss 4.9157, time 3052.90ms, mfu 22.08%
iter 770: loss 5.0930, time 3047.68ms, mfu 22.08%
iter 780: loss 4.9130, time 3051.32ms, mfu 22.08%
iter 790: loss 4.8891, time 3050.53ms, mfu 22.08%
iter 800: loss 5.0176, time 3052.91ms, mfu 22.07%
