LINESEARCH!!!
LINESEARCH LR: 0.0001220703125
step 0: train loss 10.9888, val loss 10.9901
iter 0: loss 10.9892, time 157030.46ms, mfu -100.00%
iter 10: loss 9.7188, time 2972.45ms, mfu 22.65%
iter 20: loss 9.3910, time 2975.29ms, mfu 22.65%
iter 30: loss 8.9740, time 2981.49ms, mfu 22.64%
iter 40: loss 8.6668, time 2982.74ms, mfu 22.64%
iter 50: loss 7.8542, time 2988.53ms, mfu 22.62%
iter 60: loss 7.5328, time 2994.27ms, mfu 22.61%
iter 70: loss 7.3713, time 2995.90ms, mfu 22.60%
iter 80: loss 6.9812, time 3006.35ms, mfu 22.58%
iter 90: loss 6.8068, time 3006.57ms, mfu 22.56%
LINESEARCH LR: 0.0001220703125
iter 100: loss 6.4231, time 126534.29ms, mfu 20.36%
iter 110: loss 6.6318, time 3014.77ms, mfu 20.55%
iter 120: loss 6.4770, time 3020.69ms, mfu 20.73%
iter 130: loss 6.4669, time 3029.16ms, mfu 20.88%
iter 140: loss 6.4174, time 3028.86ms, mfu 21.01%
iter 150: loss 6.0387, time 3027.72ms, mfu 21.14%
iter 160: loss 6.0298, time 3017.75ms, mfu 21.25%
iter 170: loss 6.3056, time 3019.10ms, mfu 21.36%
iter 180: loss 5.8987, time 3017.21ms, mfu 21.45%
iter 190: loss 6.0796, time 3020.98ms, mfu 21.54%
iter 200: loss 6.2213, time 3031.74ms, mfu 21.60%
iter 210: loss 5.9594, time 3028.67ms, mfu 21.67%
iter 220: loss 5.8685, time 3027.64ms, mfu 21.72%
iter 230: loss 5.9501, time 3028.03ms, mfu 21.77%
iter 240: loss 5.8231, time 3028.32ms, mfu 21.82%
iter 250: loss 5.8967, time 3030.66ms, mfu 21.86%
iter 260: loss 5.8273, time 3028.69ms, mfu 21.90%
iter 270: loss 5.8124, time 3030.69ms, mfu 21.93%
iter 280: loss 5.8721, time 3032.82ms, mfu 21.96%
iter 290: loss 5.6496, time 3031.58ms, mfu 21.98%
iter 300: loss 5.8638, time 3030.21ms, mfu 22.01%
iter 310: loss 5.8714, time 3030.55ms, mfu 22.03%
iter 320: loss 5.7545, time 3025.84ms, mfu 22.05%
iter 330: loss 5.7698, time 3024.14ms, mfu 22.07%
iter 340: loss 5.6353, time 3035.82ms, mfu 22.08%
iter 350: loss 5.7824, time 3014.32ms, mfu 22.11%
iter 360: loss 5.5407, time 3013.90ms, mfu 22.13%
iter 370: loss 5.4219, time 3024.43ms, mfu 22.14%
iter 380: loss 5.7881, time 3021.30ms, mfu 22.16%
iter 390: loss 5.4160, time 3022.27ms, mfu 22.17%
iter 400: loss 5.5548, time 3021.44ms, mfu 22.18%
iter 410: loss 5.4937, time 3020.03ms, mfu 22.19%
iter 420: loss 5.3932, time 3023.36ms, mfu 22.20%
iter 430: loss 5.5513, time 3028.12ms, mfu 22.20%
iter 440: loss 5.4681, time 3027.59ms, mfu 22.21%
iter 450: loss 5.3563, time 3027.52ms, mfu 22.21%
iter 460: loss 5.4657, time 3029.50ms, mfu 22.21%
iter 470: loss 5.3689, time 3018.75ms, mfu 22.22%
iter 480: loss 5.1798, time 3010.10ms, mfu 22.24%
iter 490: loss 5.1467, time 3016.94ms, mfu 22.24%
iter 500: loss 5.3090, time 3017.69ms, mfu 22.25%
iter 510: loss 5.3188, time 3021.04ms, mfu 22.25%
iter 520: loss 5.3282, time 3026.01ms, mfu 22.25%
iter 530: loss 5.1557, time 3020.45ms, mfu 22.26%
iter 540: loss 5.3795, time 3022.64ms, mfu 22.26%
iter 550: loss 5.2890, time 3017.96ms, mfu 22.26%
iter 560: loss 5.1551, time 3020.53ms, mfu 22.27%
iter 570: loss 5.1191, time 3024.51ms, mfu 22.27%
iter 580: loss 5.3057, time 3022.65ms, mfu 22.27%
iter 590: loss 5.2416, time 3031.78ms, mfu 22.26%
iter 600: loss 5.2380, time 3016.72ms, mfu 22.27%
iter 610: loss 5.0358, time 3022.84ms, mfu 22.27%
iter 620: loss 5.2447, time 3025.07ms, mfu 22.27%
iter 630: loss 5.0376, time 3023.59ms, mfu 22.27%
iter 640: loss 5.2338, time 3027.96ms, mfu 22.26%
iter 650: loss 5.1417, time 3019.26ms, mfu 22.27%
iter 660: loss 4.8962, time 3025.81ms, mfu 22.27%
iter 670: loss 5.1932, time 3021.62ms, mfu 22.27%
iter 680: loss 4.8593, time 3026.86ms, mfu 22.27%
iter 690: loss 5.1156, time 3029.96ms, mfu 22.26%
iter 700: loss 5.0877, time 3028.61ms, mfu 22.26%
iter 710: loss 4.8572, time 3044.23ms, mfu 22.24%
iter 720: loss 5.1418, time 3022.90ms, mfu 22.25%
iter 730: loss 4.9587, time 3022.60ms, mfu 22.25%
iter 740: loss 4.9743, time 3031.64ms, mfu 22.25%
iter 750: loss 4.8365, time 3030.39ms, mfu 22.24%
iter 760: loss 4.9708, time 3021.83ms, mfu 22.25%
iter 770: loss 5.0827, time 3005.87ms, mfu 22.26%
iter 780: loss 5.0142, time 3016.56ms, mfu 22.27%
iter 790: loss 4.8126, time 3015.53ms, mfu 22.27%
iter 800: loss 4.8569, time 3021.69ms, mfu 22.27%
iter 810: loss 4.9945, time 2993.34ms, mfu 22.30%
iter 820: loss 4.6460, time 2974.19ms, mfu 22.33%
iter 830: loss 4.5858, time 2973.11ms, mfu 22.36%
iter 840: loss 4.9500, time 2983.05ms, mfu 22.38%
iter 850: loss 4.5222, time 2991.89ms, mfu 22.40%
iter 860: loss 4.8365, time 2998.95ms, mfu 22.40%
iter 870: loss 4.6786, time 3003.95ms, mfu 22.40%
iter 880: loss 4.7643, time 3013.80ms, mfu 22.40%
iter 890: loss 4.7995, time 3017.93ms, mfu 22.39%
iter 900: loss 4.6733, time 3006.74ms, mfu 22.39%
iter 910: loss 4.5499, time 3001.91ms, mfu 22.39%
iter 920: loss 4.7373, time 2999.37ms, mfu 22.40%
iter 930: loss 4.8890, time 3001.79ms, mfu 22.40%
iter 940: loss 4.7858, time 3001.32ms, mfu 22.40%
iter 950: loss 4.7257, time 3004.97ms, mfu 22.40%
iter 960: loss 4.5890, time 3010.80ms, mfu 22.40%
iter 970: loss 4.6474, time 3010.12ms, mfu 22.40%
iter 980: loss 4.6714, time 3012.22ms, mfu 22.39%
iter 990: loss 4.7044, time 3010.53ms, mfu 22.39%
LINESEARCH!!!
LINESEARCH LR: 6.103515625e-05
step 1000: train loss 4.5890, val loss 4.6036
saving checkpoint to out
iter 1000: loss 4.6782, time 63517.81ms, mfu 20.26%
iter 1010: loss 4.5415, time 3048.07ms, mfu 20.44%
iter 1020: loss 4.4176, time 3017.06ms, mfu 20.63%
iter 1030: loss 4.3683, time 3021.83ms, mfu 20.79%
iter 1040: loss 4.5813, time 3015.71ms, mfu 20.95%
iter 1050: loss 4.4125, time 3020.61ms, mfu 21.08%
iter 1060: loss 4.4823, time 3017.65ms, mfu 21.20%
iter 1070: loss 4.5536, time 3021.97ms, mfu 21.31%
iter 1080: loss 4.2917, time 3017.81ms, mfu 21.41%
iter 1090: loss 4.6497, time 3015.51ms, mfu 21.50%
iter 1100: loss 4.4819, time 3017.51ms, mfu 21.58%
iter 1110: loss 4.4478, time 3017.80ms, mfu 21.66%
iter 1120: loss 4.4972, time 3019.34ms, mfu 21.72%
iter 1130: loss 4.7005, time 3020.24ms, mfu 21.78%
iter 1140: loss 4.4713, time 3020.83ms, mfu 21.83%
iter 1150: loss 4.4047, time 3024.06ms, mfu 21.87%
iter 1160: loss 4.2491, time 3022.71ms, mfu 21.91%
iter 1170: loss 4.4949, time 3026.40ms, mfu 21.95%
iter 1180: loss 4.5961, time 3022.43ms, mfu 21.98%
iter 1190: loss 4.4670, time 3022.78ms, mfu 22.01%
iter 1200: loss 4.4395, time 3028.84ms, mfu 22.03%
iter 1210: loss 4.4300, time 3027.46ms, mfu 22.05%
iter 1220: loss 4.2205, time 3026.00ms, mfu 22.07%
iter 1230: loss 4.4353, time 3030.42ms, mfu 22.09%
iter 1240: loss 4.4438, time 3027.16ms, mfu 22.10%
iter 1250: loss 4.3783, time 3030.39ms, mfu 22.11%
iter 1260: loss 4.2969, time 3034.73ms, mfu 22.12%
iter 1270: loss 4.5007, time 3022.48ms, mfu 22.14%
iter 1280: loss 4.5375, time 3024.66ms, mfu 22.15%
iter 1290: loss 4.1716, time 3025.96ms, mfu 22.16%
iter 1300: loss 3.8993, time 3028.74ms, mfu 22.17%
iter 1310: loss 4.1553, time 3029.14ms, mfu 22.17%
iter 1320: loss 4.5531, time 2984.59ms, mfu 22.21%
iter 1330: loss 4.3510, time 2967.72ms, mfu 22.26%
