LINESEARCH!!!
LINESEARCH LR: 0.001953125
step 0: train loss 10.9889, val loss 10.9903
iter 0: loss 10.9778, time 83706.19ms, mfu -100.00%
iter 10: loss 8.8724, time 2936.81ms, mfu 22.93%
iter 20: loss 7.1607, time 2939.88ms, mfu 22.92%
iter 30: loss 7.0053, time 2953.09ms, mfu 22.91%
iter 40: loss 6.9724, time 2961.71ms, mfu 22.89%
iter 50: loss 6.8504, time 2973.09ms, mfu 22.87%
iter 60: loss 6.4801, time 2986.59ms, mfu 22.84%
iter 70: loss 6.3798, time 2992.73ms, mfu 22.80%
iter 80: loss 6.2401, time 2999.08ms, mfu 22.77%
iter 90: loss 6.3281, time 3004.69ms, mfu 22.73%
LINESEARCH!!!
